timestamp,Datum,Bedienung,Tischnummer,Artikeltyp,ArtikelID,Bezeichnung,Detail,Anzahl,Einzelpreis
1574280165,2019-11-20 21:02:45.000000,Dominik,112,Speisen,5,Steak,im Wecken,1,3.50
1574280165,2019-11-20 21:02:45.000000,Dominik,112,Getränke,2,Radler,0.5l,1,2.90
1574280165,2019-11-20 21:02:45.000000,Dominik,112,Speisen,4,Rote,mit Wecken,1,2.90
1574280165,2019-11-20 21:02:45.000000,Dominik,112,Getränke,1,Bier,0.5l,1,2.90
1574280273,2019-11-20 21:04:33.000000,Dominik,5,Speisen,4,Rote,mit Wecken,2,2.90
1574280273,2019-11-20 21:04:33.000000,Dominik,5,Getränke,3,Bier,Alkoholfrei,2,2.90
1574280283,2019-11-20 21:04:43.000000,Dominik,5,Speisen,5,Steak,im Wecken,2,3.50
1574280283,2019-11-20 21:04:43.000000,Dominik,5,Getränke,2,Radler,0.5l,2,2.90
1574280283,2019-11-20 21:04:43.000000,Dominik,5,Speisen,4,Rote,mit Wecken,2,2.90
1574280283,2019-11-20 21:04:43.000000,Dominik,5,Getränke,1,Bier,0.5l,2,2.90
1574281147,2019-11-20 21:19:07.000000,Dominik,112,Getränke,1,Bier,0.5l,7,2.90
1574281147,2019-11-20 21:19:07.000000,Dominik,112,Getränke,2,Radler,0.5l,2,2.90
1574281147,2019-11-20 21:19:07.000000,Dominik,112,Getränke,3,Bier,Alkoholfrei,4,2.90
1574281147,2019-11-20 21:19:07.000000,Dominik,112,Speisen,4,Rote,mit Wecken,2,2.90
1574281147,2019-11-20 21:19:07.000000,Dominik,112,Speisen,5,Steak,im Wecken,2,3.50
